batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
65,,,,22,step,,,,,2200,0.35267576575279236,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
68,,,,23,step,,,,,2300,0.4266836643218994,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
71,,,,24,step,,,,,2400,0.3725806474685669,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8423,0.4598367736816406,87.04858750803396,25,bin,14255.331138414367,0.03498924925628275,14704.210410818505,0.5,2425,,0.4229968854598086,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8423,0.4598367736816406
74,,,,25,step,,,,,2500,0.4207676649093628,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
77,,,,26,step,,,,,2600,0.41513025760650635,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
80,,,,27,step,,,,,2700,0.4458805024623871,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
83,,,,28,step,,,,,2800,0.34928199648857117,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
86,,,,29,step,,,,,2900,0.41027596592903137,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
89,,,,30,step,,,,,3000,0.33506864309310913,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8513,0.454682177734375,108.81697523605544,32,bin,14253.406232216015,0.034907203994110445,14696.84792649437,0.6249484536082475,3031,,0.34680400304373343,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8513,0.454682177734375
92,,,,31,step,,,,,3100,0.3469926118850708,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
95,,,,32,step,,,,,3200,0.28427937626838684,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
1,,,,34,step,,,,,3300,0.27311235666275024,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
4,,,,35,step,,,,,3400,0.26545628905296326,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
7,,,,36,step,,,,,3500,0.28009068965911865,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
